Depth	Dataset	Tools	TP1	TP2	FP	TN	FN	Accuracy	Precision	Sensitivity	Specificity	F1score	False_Positive_Rate	False_Negative	Base_pair_Difference	Redundancy
10X	dataset5	Deep_EccScan	9244.0	9457.0	5.0	10000.0	756.0	0.9619595101224694	0.9994594010163261	0.9244	0.9995002498750625	0.9604654787261676	0.0004997501249375312	0.0756	1.09	1.02
10X	dataset5	Circle_finder	8451.0	11011.0	507.0	10000.0	1049.0	0.9222272204728345	0.9434025452109845	0.889578947368421	0.9517464547444561	0.9157005092642757	0.04825354525554392	0.11042105263157895	1.27	1.3
10X	dataset5	CircleMap	9156.0	12327.0	1800.0	10000.0	844.0	0.8787155963302752	0.8357064622124863	0.9156	0.847457627118644	0.8738308837564421	0.15254237288135594	0.0844	31.82	1.35
10X	dataset5	ecc_finder	5724.0	5736.0	290.0	10000.0	4276.0	0.7749630359783144	0.9517791819088793	0.5724	0.9718172983479106	0.7148744848257774	0.028182701652089408	0.4276	1.52	1.0
10X	dataset5	ECCsplorer	7346.0	7464.0	8544.0	10000.0	2654.0	0.6076933856502242	0.46230333543108876	0.7346	0.5392579810181191	0.5674777906527617	0.46074201898188094	0.2654	5.42	1.02
10X	dataset6	Deep_EccScan	9138.0	9387.0	16.0	10000.0	862.0	0.9561350919264588	0.9982521302162989	0.9138	0.9984025559105432	0.9541610107549336	0.001597444089456869	0.0862	1.1	1.03
10X	dataset6	Circle_finder	8372.0	11320.0	505.0	10000.0	1128.0	0.9183704073981505	0.9431114115128985	0.8812631578947369	0.9519276534983341	0.9111389236545681	0.04807234650166587	0.11873684210526315	1.29	1.35
10X	dataset6	CircleMap	8781.0	10550.0	1029.0	10000.0	1219.0	0.8931000047553379	0.8951070336391437	0.8781	0.9067005168192945	0.8865219586067642	0.09329948318070541	0.1219	20.4	1.2
10X	dataset6	ecc_finder	4601.0	4620.0	325.0	10000.0	5399.0	0.7183763837638376	0.9340235485180673	0.4601	0.9685230024213075	0.6165081066595203	0.031476997578692496	0.5399	1.93	1.0
10X	dataset6	ECCsplorer	6526.0	6680.0	10514.0	10000.0	3474.0	0.5415874680474536	0.382981220657277	0.6526	0.4874719703617042	0.4826923076923077	0.5125280296382958	0.3474	4.47	1.02
10X	dataset7	Deep_EccScan	9546.0	10065.0	112.0	10000.0	454.0	0.9718575974542562	0.9884033961482709	0.9546	0.9889240506329114	0.9712076508291789	0.011075949367088608	0.0454	0.87	1.05
10X	dataset7	Circle_finder	8503.0	13202.0	557.0	10000.0	997.0	0.9225208156753253	0.9385209713024283	0.8950526315789473	0.947238798901203	0.9162715517241379	0.052761201098797006	0.10494736842105264	1.6	1.55
10X	dataset7	CircleMap	9093.0	9592.0	490.0	10000.0	907.0	0.9318204001952172	0.9488677867056245	0.9093	0.9532888465204957	0.9286626155338814	0.04671115347950429	0.0907	3.53	1.05
10X	dataset7	ecc_finder	3601.0	3623.0	58.0	10000.0	6399.0	0.6780835576827201	0.9841486745012299	0.3601	0.9942334460131239	0.5272713961490592	0.005766553986876119	0.6399	1.7	1.01
10X	dataset7	ECCsplorer	8961.0	9206.0	1586.0	10000.0	1039.0	0.8783934031316594	0.8496254859201668	0.8961	0.8631106507854307	0.8722441232296685	0.1368893492145693	0.1039	0.91	1.03
15X	dataset1	Deep_EccScan	9441.0	9749.0	16.0	10000.0	559.0	0.9712729816147082	0.9983081315427725	0.9441	0.9984025559105432	0.9704476538006888	0.001597444089456869	0.0559	1.18	1.03
15X	dataset1	Circle_finder	8541.0	12006.0	512.0	10000.0	959.0	0.9264941035378773	0.9434441621561913	0.8990526315789473	0.9512937595129376	0.9207136312186708	0.0487062404870624	0.10094736842105263	1.41	1.41
15X	dataset1	CircleMap	9344.0	13667.0	2226.0	10000.0	656.0	0.8703320435525961	0.8076058772687986	0.9344	0.8179290037624735	0.8663885025498377	0.1820709962375266	0.0656	41.2	1.46
15X	dataset1	ecc_finder	6967.0	6987.0	323.0	10000.0	3033.0	0.8348668995719136	0.9556927297668039	0.6967	0.968710646130001	0.8058993637941007	0.03128935386999903	0.3033	1.46	1.0
15X	dataset1	ECCsplorer	8263.0	8428.0	7623.0	10000.0	1737.0	0.6611519386018897	0.5201435225985144	0.8263	0.5674402769108551	0.6384145870354632	0.43255972308914487	0.1737	4.09	1.02
15X	dataset2	Deep_EccScan	9567.0	9988.0	7.0	10000.0	433.0	0.978007697305943	0.9992688531439314	0.9567	0.9993004896572399	0.9775212015939512	0.0006995103427600679	0.0433	1.26	1.04
15X	dataset2	Circle_finder	8578.0	14190.0	511.0	10000.0	922.0	0.9283893858377892	0.9437781934206183	0.9029473684210526	0.9513842641042717	0.9229113992145892	0.04861573589572828	0.09705263157894736	1.68	1.65
15X	dataset2	CircleMap	9381.0	12981.0	2132.0	10000.0	619.0	0.8757003433941803	0.8148180317901502	0.9381	0.8242664029014177	0.87212383210152	0.17573359709858227	0.0619	24.27	1.38
15X	dataset2	ecc_finder	8016.0	8059.0	190.0	10000.0	1984.0	0.8923229321446261	0.9768462100901779	0.8016	0.9813542688910697	0.8805888168735582	0.018645731108930325	0.1984	1.8	1.01
15X	dataset2	ECCsplorer	8960.0	9188.0	2865.0	10000.0	1040.0	0.829214957358408	0.7577167019027484	0.896	0.777302759424796	0.8210767468499426	0.22269724057520404	0.104	2.02	1.03
15X	dataset3	Deep_EccScan	9584.0	10037.0	24.0	10000.0	416.0	0.9780263683579704	0.9975020815986678	0.9584	0.9976057462090981	0.9775601795185639	0.0023942537909018356	0.0416	1.05	1.05
15X	dataset3	Circle_finder	8590.0	15645.0	518.0	10000.0	910.0	0.9286642022180038	0.943126921387791	0.9042105263157895	0.9507510933637574	0.9232588134135855	0.04924890663624263	0.09578947368421052	1.86	1.82
15X	dataset3	CircleMap	9383.0	11334.0	1130.0	10000.0	617.0	0.9173213440605774	0.892514030248264	0.9383	0.8984725965858041	0.9148344951981671	0.10152740341419586	0.0617	11.61	1.21
15X	dataset3	ecc_finder	8415.0	8490.0	190.0	10000.0	1585.0	0.9120851906884596	0.9779198140615921	0.8415	0.9813542688910697	0.9045955388336469	0.018645731108930325	0.1585	1.86	1.01
15X	dataset3	ECCsplorer	9080.0	9350.0	2453.0	10000.0	920.0	0.8497750857346457	0.7873059915026446	0.908	0.8030193527664017	0.8433567083081781	0.19698064723359832	0.092	1.35	1.03
15X	dataset4	Deep_EccScan	9570.0	9893.0	15.0	10000.0	430.0	0.9777666749937547	0.9984350547730829	0.957	0.9985022466300549	0.9772785294868521	0.0014977533699450823	0.043	1.5	1.03
15X	dataset4	Circle_finder	8662.0	13285.0	510.0	10000.0	838.0	0.9326336831584208	0.9443959877889229	0.9117894736842105	0.9514747859181731	0.9278063410454155	0.048525214081826834	0.08821052631578948	1.7	1.53
15X	dataset4	CircleMap	9418.0	13556.0	2446.0	10000.0	582.0	0.8650984585226766	0.7938300741739717	0.9418	0.8034709946970915	0.8615075009147457	0.19652900530290857	0.0582	30.48	1.44
15X	dataset4	ecc_finder	7537.0	7572.0	236.0	10000.0	2463.0	0.8666238387033011	0.9696384922166473	0.7537	0.9769441187964049	0.8481404377426432	0.023055881203595155	0.2463	1.25	1.0
15X	dataset4	ECCsplorer	8721.0	8905.0	3797.0	10000.0	1279.0	0.7866958019918477	0.6966767854289823	0.8721	0.7247952453431905	0.7745803357314148	0.27520475465680944	0.1279	2.3	1.02
15X	dataset5	Deep_EccScan	9452.0	9743.0	16.0	10000.0	548.0	0.9718225419664268	0.9983100971694128	0.9452	0.9984025559105432	0.9710293815492089	0.001597444089456869	0.0548	1.17	1.03
15X	dataset5	Circle_finder	8547.0	12092.0	509.0	10000.0	953.0	0.9269328802039083	0.9437941696113075	0.8996842105263158	0.9515653249595585	0.9212114679887906	0.04843467504044153	0.1003157894736842	1.42	1.41
15X	dataset5	CircleMap	9375.0	13614.0	2304.0	10000.0	625.0	0.8686782639885222	0.8027228358592345	0.9375	0.812743823146944	0.864892292079893	0.18725617685305593	0.0625	40.42	1.45
15X	dataset5	ecc_finder	7042.0	7078.0	331.0	10000.0	2958.0	0.8382273375633269	0.9551064695510647	0.7042	0.9679605072113058	0.8106832441144306	0.032039492788694224	0.2958	1.45	1.01
15X	dataset5	ECCsplorer	8287.0	8431.0	7108.0	10000.0	1713.0	0.674597904677586	0.5382916531341344	0.8287	0.5845218611176058	0.6526481590864343	0.4154781388823942	0.1713	4.17	1.02
15X	dataset6	Deep_EccScan	9354.0	9647.0	25.0	10000.0	646.0	0.9664918851435705	0.9973344706258663	0.9354	0.9975062344139651	0.9653748903452191	0.0024937655860349127	0.0646	1.03	1.03
15X	dataset6	Circle_finder	8493.0	12737.0	510.0	10000.0	1007.0	0.9241879060469765	0.943352215928024	0.894	0.9514747859181731	0.9180132951413285	0.048525214081826834	0.106	1.5	1.5
15X	dataset6	CircleMap	9009.0	11224.0	1287.0	10000.0	991.0	0.8929863296847841	0.875	0.9009	0.8859750155045628	0.887761135199054	0.11402498449543723	0.0991	23.88	1.25
15X	dataset6	ecc_finder	5139.0	5167.0	374.0	10000.0	4861.0	0.7430548738588397	0.9321603482677309	0.5139	0.963948332369385	0.6625410945658481	0.036051667630615	0.4861	1.69	1.01
15X	dataset6	ECCsplorer	7115.0	7280.0	7451.0	10000.0	2885.0	0.6234745546610324	0.4884662913634491	0.7115	0.5730330640077933	0.5792558821134901	0.42696693599220675	0.2885	3.42	1.02
15X	dataset7	Deep_EccScan	9579.0	10167.0	122.0	10000.0	421.0	0.9730146108736706	0.9874239769095969	0.9579	0.9879470460383324	0.9724379473123191	0.012052953961667655	0.0421	0.88	1.06
15X	dataset7	Circle_finder	8527.0	15205.0	558.0	10000.0	973.0	0.9236713530760794	0.9385800770500825	0.897578947368421	0.9471490812653912	0.917621737960721	0.05285091873460883	0.10242105263157894	1.81	1.78
15X	dataset7	CircleMap	9139.0	9717.0	518.0	10000.0	861.0	0.9327907203431134	0.946360153256705	0.9139	0.9507510933637574	0.9298468738871649	0.04924890663624263	0.0861	3.87	1.06
15X	dataset7	ecc_finder	3959.0	3995.0	69.0	10000.0	6041.0	0.6955503512880562	0.9828699106256207	0.3959	0.993147283742179	0.5644425434844597	0.0068527162578210345	0.6041	1.84	1.01
15X	dataset7	ECCsplorer	8756.0	9033.0	1906.0	10000.0	1244.0	0.8562037797863599	0.8212342900018759	0.8756	0.8399126490844953	0.8475462201142194	0.1600873509155048	0.1244	0.91	1.03
20X	dataset1	Deep_EccScan	9560.0	9892.0	13.0	10000.0	440.0	0.9773647129365912	0.9986420139977019	0.956	0.9987016878058524	0.9768558728861186	0.0012983121941476082	0.044	1.24	1.03
20X	dataset1	Circle_finder	8604.0	12986.0	510.0	10000.0	896.0	0.9297351324337831	0.9440421329822252	0.9056842105263158	0.9514747859181731	0.9244654561083055	0.048525214081826834	0.09431578947368421	1.53	1.51
20X	dataset1	CircleMap	9463.0	14701.0	2450.0	10000.0	537.0	0.8669487750556792	0.7943423151179384	0.9463	0.8032128514056225	0.8636882216036144	0.19678714859437751	0.0537	46.98	1.55
20X	dataset1	ecc_finder	7057.0	7086.0	327.0	10000.0	2943.0	0.8391302208884734	0.955715059588299	0.7057	0.9683354313934347	0.8118959963184538	0.031664568606565316	0.2943	1.53	1.0
20X	dataset1	ECCsplorer	8683.0	8874.0	6465.0	10000.0	1317.0	0.7059512563763461	0.5732109849485081	0.8683	0.6073489219556635	0.6905519325592492	0.39265107804433647	0.1317	3.25	1.02
20X	dataset2	Deep_EccScan	9637.0	10121.0	7.0	10000.0	363.0	0.981506472734543	0.9992741600995437	0.9637	0.9993004896572399	0.9811647322337609	0.0006995103427600679	0.0363	1.4	1.05
20X	dataset2	Circle_finder	8600.0	15791.0	512.0	10000.0	900.0	0.9294423345992404	0.9438103599648815	0.9052631578947369	0.9512937595129376	0.9241349666881582	0.0487062404870624	0.09473684210526316	1.87	1.84
20X	dataset2	CircleMap	9429.0	13500.0	2237.0	10000.0	571.0	0.8737239735575842	0.8082461854963141	0.9429	0.8171937566396993	0.8703960121849903	0.18280624336030074	0.0571	28.26	1.43
20X	dataset2	ecc_finder	8343.0	8404.0	197.0	10000.0	1657.0	0.9082041887409021	0.9769320843091335	0.8343	0.9806805923310777	0.9000000000000001	0.01931940766892223	0.1657	2.03	1.01
20X	dataset2	ECCsplorer	9072.0	9351.0	3144.0	10000.0	928.0	0.8240580712063602	0.7426326129666012	0.9072	0.7608034083992696	0.8167086784299604	0.23919659160073037	0.0928	1.99	1.03
20X	dataset3	Deep_EccScan	9610.0	10092.0	28.0	10000.0	390.0	0.9791292190932694	0.9970948329528948	0.961	0.9972078181092939	0.9787147367349018	0.002792181890706023	0.039	1.08	1.05
20X	dataset3	Circle_finder	8595.0	17530.0	522.0	10000.0	905.0	0.9287283987613625	0.9427443237907206	0.9047368421052632	0.9503896597605018	0.9233496266852876	0.049610340239498195	0.09526315789473684	2.0	2.04
20X	dataset3	CircleMap	9388.0	11495.0	1176.0	10000.0	612.0	0.915564790328674	0.8886785308595229	0.9388	0.8947745168217609	0.9130519354211243	0.10522548317823908	0.0612	12.97	1.22
20X	dataset3	ecc_finder	8621.0	8708.0	211.0	10000.0	1379.0	0.9213299688288555	0.9761096014492754	0.8621	0.9793360101850945	0.9155692438402719	0.020663989814905494	0.1379	2.09	1.01
